Transaction_ID,Order_Date,Product_ID,Product_Name,Category,Unit_Price,Quantity,Total_Sales,Customer_ID,Store_ID,City,Payment_Method,Month
T1000,20-05-2024,P1002,Wheat Flour,Grocery,399,1,399,C350,S02,Mumbai,UPI,5
T1001,29-10-2024,P1002,Wheat Flour,Grocery,64,9,576,C532,S01,Hyderabad,Cash,10
T1002,04-11-2024,P2001,Shampoo,Personal Care,278,4,1112,C127,S02,Kolkata,UPI,11
T1003,17-08-2024,P4002,Butter,Dairy,132,7,924,C703,S03,Hyderabad,Cash,8
T1004,20-03-2024,P3002,Chips,Snacks,162,6,972,C320,S03,Hyderabad,Cash,3
T1005,25-06-2024,P3002,Chips,Snacks,203,2,406,C718,S03,Hyderabad,UPI,6
T1006,12-07-2024,P4001,Milk,Dairy,83,9,747,C180,S03,Kolkata,UPI,7
T1007,26-12-2024,P3001,Biscuits,Snacks,118,10,1180,C171,S01,Kolkata,Cash,12
T1008,29-04-2024,P2002,Soap,Personal Care,457,2,914,C987,S01,Bangalore,Card,4
T1009,08-07-2024,P4001,Milk,Dairy,103,6,618,C463,S02,Kolkata,Card,7
T1010,28-03-2024,P1002,Wheat Flour,Grocery,345,10,3450,C646,S02,Mumbai,Card,3
T1011,23-11-2024,P3002,Chips,Snacks,493,5,2465,C804,S02,Kolkata,Card,11
T1012,17-01-2024,P1001,Rice,Grocery,440,4,1760,C924,S03,Bangalore,Card,1
T1013,17-10-2024,P1002,Wheat Flour,Grocery,487,4,1948,C997,S03,Mumbai,UPI,10
T1014,25-11-2024,P4001,Milk,Dairy,472,7,3304,C569,S02,Delhi,Cash,11
T1015,14-05-2024,P2001,Shampoo,Personal Care,295,9,2655,C864,S04,Chennai,Card,5
T1016,17-09-2024,P3001,Biscuits,Snacks,90,4,360,C605,S01,Hyderabad,Cash,9
T1017,14-12-2024,P1003,Cooking Oil,Grocery,425,3,1275,C532,S01,Bangalore,Card,12
T1018,08-05-2024,P5001,Soft Drink,Beverages,290,8,2320,C666,S01,Kolkata,UPI,5
